	TEAM_NAME	W_PCT	Predicted WIN PCT	difference %	Predicted Ws	Predicted Ls
0	Atlanta Hawks	0.569	0.5876328203351626	1.863282033516267	42.0	30.0
1	Boston Celtics	0.5	0.5559075290326627	5.590752903266272	40.0	32.0
2	Cleveland Cavaliers	0.306	0.25312400565885407	-5.287599434114592	18.0	54.0
3	New Orleans Pelicans	0.431	0.5236804976540063	9.268049765400626	38.0	34.0
4	Chicago Bulls	0.431	0.4778882238291843	4.688822382918429	34.0	38.0
5	Dallas Mavericks	0.583	0.5864213413827379	0.34213413827379746	42.0	30.0
6	Denver Nuggets	0.653	0.6451352452351367	-0.7864754764863369	46.0	26.0
7	Golden State Warriors	0.542	0.5317009213513139	-1.0299078648686177	38.0	34.0
8	Houston Rockets	0.236	0.2737023506490192	3.7702350649019225	20.0	52.0
9	LA Clippers	0.653	0.6886009925343815	3.5600992534381426	50.0	22.0
10	Los Angeles Lakers	0.583	0.5839367396838928	0.0936739683892851	42.0	30.0
11	Miami Heat	0.556	0.5224158442554645	-3.358415574453555	38.0	34.0
12	Milwaukee Bucks	0.639	0.6882718687673106	4.92718687673106	50.0	22.0
13	Minnesota Timberwolves	0.319	0.350256875464303	3.1256875464303002	25.0	47.0
14	Brooklyn Nets	0.667	0.6791129996495273	1.2112999649527278	49.0	23.0
15	New York Knicks	0.569	0.560248895731519	-0.8751104268480914	40.0	32.0
16	Orlando Magic	0.292	0.22306099465315704	-6.893900534684294	16.0	56.0
17	Indiana Pacers	0.472	0.5215169801671331	4.951698016713313	38.0	34.0
18	Philadelphia 76ers	0.681	0.6747525387634787	-0.6247461236521312	49.0	23.0
19	Phoenix Suns	0.708	0.661349607482121	-4.665039251787895	48.0	24.0
20	Portland Trail Blazers	0.583	0.5413700991837584	-4.162990081624152	39.0	33.0
21	Sacramento Kings	0.431	0.441418557299489	1.0418557299488984	32.0	40.0
22	San Antonio Spurs	0.458	0.42759504395417464	-3.040495604582538	31.0	41.0
23	Oklahoma City Thunder	0.306	0.20774340974850558	-9.825659025149442	15.0	57.0
24	Toronto Raptors	0.375	0.4725320456712929	9.753204567129291	34.0	38.0
25	Utah Jazz	0.722	0.7673399347086671	4.533993470866715	55.0	17.0
26	Memphis Grizzlies	0.528	0.5535593800219514	2.555938002195135	40.0	32.0
27	Washington Wizards	0.472	0.4539645812297371	-1.8035418770262879	33.0	39.0
28	Detroit Pistons	0.278	0.3555459762276166	7.754597622761655	26.0	46.0
29	Charlotte Hornets	0.458	0.42750032207199506	-3.049967792800495	31.0	41.0
