	TEAM_NAME	W_PCT	Predicted WIN PCT	difference %	Predicted Ws	Predicted Ls
0	Atlanta Hawks	0.569	0.5987642477538291	2.976424775382913	43.0	29.0
1	Boston Celtics	0.5	0.4924307920020006	-0.7569207997999428	35.0	37.0
2	Cleveland Cavaliers	0.306	0.18767359715979914	-11.832640284020085	14.0	58.0
3	New Orleans Pelicans	0.431	0.4441719902236745	1.317199022367449	32.0	40.0
4	Chicago Bulls	0.431	0.43656680712967955	0.5566807129679552	31.0	41.0
5	Dallas Mavericks	0.583	0.5863172958865874	0.3317295886587468	42.0	30.0
6	Denver Nuggets	0.653	0.6314974193043632	-2.150258069563682	45.0	27.0
7	Golden State Warriors	0.542	0.49330114993513163	-4.86988500648684	36.0	36.0
8	Houston Rockets	0.236	0.21723426074087904	-1.876573925912095	16.0	56.0
9	LA Clippers	0.653	0.6608587827639401	0.7858782763940031	48.0	24.0
10	Los Angeles Lakers	0.583	0.5929063959121734	0.990639591217346	43.0	29.0
11	Miami Heat	0.556	0.5228310139919436	-3.31689860080564	38.0	34.0
12	Milwaukee Bucks	0.639	0.6654139185726038	2.641391857260378	48.0	24.0
13	Minnesota Timberwolves	0.319	0.28497989100154086	-3.402010899845914	21.0	51.0
14	Brooklyn Nets	0.667	0.6342820158908253	-3.2717984109174703	46.0	26.0
15	New York Knicks	0.569	0.6355138976958976	6.651389769589766	46.0	26.0
16	Orlando Magic	0.292	0.20472231246214356	-8.727768753785641	15.0	57.0
17	Indiana Pacers	0.472	0.4892934551466901	1.7293455146690118	35.0	37.0
18	Philadelphia 76ers	0.681	0.6453074431399841	-3.5692556860015934	46.0	26.0
19	Phoenix Suns	0.708	0.6522399887115959	-5.576001128840402	47.0	25.0
20	Portland Trail Blazers	0.583	0.505624665257832	-7.737533474216796	36.0	36.0
21	Sacramento Kings	0.431	0.37747060493225604	-5.352939506774396	27.0	45.0
22	San Antonio Spurs	0.458	0.40900171322377865	-4.8998286776221365	29.0	43.0
23	Oklahoma City Thunder	0.306	0.20623724288813428	-9.976275711186572	15.0	57.0
24	Toronto Raptors	0.375	0.3990687067394951	2.4068706739495127	29.0	43.0
25	Utah Jazz	0.722	0.7403482242401136	1.834822424011362	53.0	19.0
26	Memphis Grizzlies	0.528	0.5041314952420386	-2.386850475796143	36.0	36.0
27	Washington Wizards	0.472	0.4198871213984763	-5.211287860152369	30.0	42.0
28	Detroit Pistons	0.278	0.3464805335073837	6.84805335073837	25.0	47.0
29	Charlotte Hornets	0.458	0.41295997368520077	-4.504002631479925	30.0	42.0
